address	pmid	latitude	longitude
School of Life Science and Technology, Tokyo Institute of Technology, Tokyo, Japan.	38782570	35.639273	139.29799
Research Center for Integrative Evolutionary Science, The Graduate University for Advanced Studies, SOKENDAI, Kanagawa, Japan.	38782570	NA	NA
Tanzania Fisheries Research Institute (TAFIRI), Dar es Salaam, Tanzania.	38782570	-6.666502	 39.21259
Tanzania Fisheries Research Institute (TAFIRI), Mwanza, Tanzania.	38782570	-2.517883	32.89910
Department of Dermatology, Medical University of Vienna, Austria.	38781495	48.209206	16.37278
Clinic for Poultry and Fish Medicine, Department for Farm Animals and Veterinary Public Health, University of Veterinary Medicine Vienna, Austria.	38781495	48.209206	16.37278
Simon F. S. Li Marine Science Laboratory, School of Life Sciences and State Key Laboratory of Agrobiotechnology, The Chinese University of Hong Kong, Shatin, Hong Kong SAR.	38776415	22.42223	114.214455
School of Earth and Environmental Sciences and Centre for Exoplanet Science, University of St Andrews, Bute Building, Queen's Terrace, KY16 9TS, UK.	38776415	56.33805	 -2.794175
Earth and Environmental Sciences Programme, The Chinese University of Hong Kong, Shatin, Hong Kong SAR.	38776415	22.41952	114.206061
Institute of Environment, Energy and Sustainability, The Chinese University of Hong Kong, Shatin, Hong Kong SAR.	38776415	22.41952	114.20606
Department of Ecology and Evolution, Laufer Center for Physical and Quantitative Biology, Stony Brook University, 650 Life Sciences, Stony Brook, NY 11794-4254.	38768245	40.90592	-73.11368
State Key Laboratory of Systematic and Evolutionary Botany, Institute of Botany, Chinese Academy of Sciences, Beijing 100093, China.	38768215	39.90750	116.39723
China National Botanical Garden, Beijing 100093, China.	38768215	39.90750	116.3972
University of Chinese Academy of Sciences, Beijing 100049, China.	38768215	39.90750	116.3972
State Key Laboratory of Agricultural Genomics, Key Laboratory of Genomics, Ministry of Agriculture, BGI Research, Shenzhen 518083, China.	38768215	22.54554	114.0683
Department of Mathematics, University of Bergen, Bergen, Norway.	38758976	60.38805	 5.331858
School of Life Sciences, University of Warwick, Coventry, UK.	38758976	52.37375	-1.552792
Computational Biology Unit, University of Bergen, Bergen, Norway.	38758976	60.38805	 5.331858
State Key Laboratory of Cotton Bio-breeding and Integrated, Institute of Cotton Research, Chinese Academy of Agricultural Sciences, Anyang, China 455000.	38758089	36.09600	114.38278
Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Key Laboratory of Synthetic Biology, Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, China 518120.	38758089	NA	NA
Department of Ecology, Evolution and Organismal Biology, Iowa State University, Ames, Iowa, USA 50011.	38758089	42.02525	-93.65087
Department of Biological Science, Florida State University, Tallahassee, Florida, USA 32306.	38758089	30.44165	-84.30294
Department of Statistics, Florida State University, Tallahassee, Florida, USA 32306.	38758089	30.44165	-84.30294
Dept of Mathematics, Florida Gulf Coast University, Florida, USA 33965.	38758089	26.46161	-81.77579
Department of Ecology & Evolutionary Biology, University of Arizona, Tucson, AZ, USA 85721.	38758089	32.23372	-110.95071
Department of Molecular & Cellular Biology, University of Arizona, Tucson, AZ, USA 85721.	38758089	32.23372	-110.95071
Department of Molecular Genetics, Ohio State University, Columbus, Ohio, USA 43210.	38758089	40.00061	 -83.01796
Zhengzhou Research Base, State Key Laboratory of Cotton Biology, School of Agricultural Sciences, Zhengzhou University, Zhengzhou, China 450000.	38758089	34.75778	 113.6486
Forage Seed and Cereal Research Unit, USDA/Agricultural Research Service, Corvallis, Oregon, USA 97331.	38758089	44.56404	-123.2814
Crop Germplasm Research Unit, USDA/Agricultural Research Service, College Station, Texas, USA 77845.	38758089	30.56954	 -96.2871
